stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
13620,23,R. S. Tomás Aquino,,38.75146850,-9.16766800,,,0,,,
13621,12,R. António Albino Machado,,38.75419210,-9.16912320,,,0,,,
8430,16,Esc. Vitorino Nemésio,,38.75664450,-9.11462100,,,0,,,
8420,10,Av. Pádua,,38.76298150,-9.10685700,,,0,,,
6824,23,Jardim Amoreiras,,38.72146850,-9.15638200,,,0,,,
6804,17,Rato,,38.72008550,-9.15483900,,,0,,,
4219,11,Algés - Pç. D. Manuel I,,38.69940750,-9.22856900,,,0,,,
4209,2,R. Damião Góis,,38.69822450,-9.22503700,,,0,,,
2129,15,Mercado Sta. Clara,,38.71538050,-9.12541900,,,0,,,
6610,20,R. Conde Redondo,,38.72661750,-9.14508700,,,0,,,
9420,5,Lg. Necessidades,,38.70711250,-9.17142100,,,0,,,
7824,13,Av. Boa Esperança,,38.77439510,-9.09749910,,,0,,,
7804,6,Pç. José Queirós,,38.77423750,-9.10623800,,,0,,,
7814,1,Estação Oriente (Interface),,38.76817550,-9.09992700,,,0,,,
7518,27,R. Cidade Beira,,38.76782250,-9.12337300,,,0,,,
8019,2,Igreja Sto. Condestável (C. Ourique),,38.71483850,-9.16650200,,,0,,,
8009,14,R. Sampaio Bruno,,38.71833250,-9.16936300,,,0,,,
8029,13,Campo Ourique (Prazeres),,38.71469350,-9.17005700,,,0,,,
7610,13,Gasolineiras,,38.78046250,-9.12543000,,,0,,,
8113,7,R. João Deus,,38.71267850,-9.16022000,,,0,,,
8103,5,Jardim Estrela,,38.71556050,-9.16000700,,,0,,,
2335,5,R. Vila Fontes,,38.75834450,-9.10563900,,,0,,,
2315,38,Av. Inf. D. Henrique / Av. Berlim,,38.76683250,-9.10399900,,,0,,,
9009,37,Casal Vistoso,,38.74134550,-9.12817300,,,0,,,
9103,9,R. Penha França,,38.72436450,-9.12961600,,,0,,,
9113,11,R. Bartolomeu Costa,,38.72056350,-9.12376800,,,0,,,
3305,7,B. Santos,,38.74484250,-9.15657800,,,0,,,
